Early Archean,Paleoarchean
Early Proterozoic,Paleoproterozoic
Late Archean,Neoarchean
Late Proterozoic,Neoproterozoic
Lower Cretaceous,Early Cretaceous
Lower Devonian,Early Devonian
Lower Eocene,Early Eocene
Lower Jurassic,Early Jurassic
Lower Mississippian,Tournaisian
Lower Ordovician,Early Ordovician
Lower Pennsylvanian,Bashkirian
Lower Permian,Early Permian
Lower Silurian,Early Silurian
Mid-Cretaceous,Cretaceous
Middle Archean,Mesoarchean
Middle Cretaceous,Cretaceous
Middle Proterozoic,Mesoproterozoic
Pre-Cenozoic,Phanerozoic
Pre-Cenozoic undivided,Phanerozoic
Pre-Cretaceous,Mesozoic
Pre-Mesozoic,Paleozoic
Upper Cambrian,Late Cambrian
Upper Cretaceous,Late Cretaceous
Upper Devonian,Late Devonian
Upper Eocene,Late Eocene
Upper Jurassic,Late Jurassic
Upper Mississippian,Serpukhovian
Upper Ordovician,Late Ordovician
Upper Pennsylvanian,Gzhelian
Upper Permian,Late Permian
